blockchain,project,version,block_month,block_date,block_time,block_number,token_bought_symbol,token_sold_symbol,token_pair,token_bought_amount,token_sold_amount,token_bought_amount_raw,token_sold_amount_raw,amount_usd,token_bought_address,token_sold_address,taker,maker,project_contract_address,tx_hash,tx_from,tx_to,evt_index
sei,yaka,1,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:20,111422726,YAKA,WSEI,WSEI-YAKA,7666.595456,179.1095977,7666595456031586917820,1.7911E+20,64.84483875,0x51121bcae92e302f19d06c193c95e1f7b81a444b,0xe30fedd158a2e3b13e9badaeabafc5516e95e8c7,0x306e3ab2dda434c16cddee0d4d807afec4bcc317,0xdaff2df0adee507b77878caaff76b44c81a4d63b,0xdaff2df0adee507b77878caaff76b44c81a4d63b,0x64645af093796f9a84564d3ddb34dc45ca17262b33f4d7233109e2041c601931,0x306e3ab2dda434c16cddee0d4d807afec4bcc317,0x9f3b1c6b0cddfe7adadd7aadf72273b38eff0ebc,7
sei,yaka,1,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:20,111422728,YAKA,WSEI,WSEI-YAKA,12103.75287,283.1250078,12103752874760228751056,2.83125E+20,102.5025778,0x51121bcae92e302f19d06c193c95e1f7b81a444b,0xe30fedd158a2e3b13e9badaeabafc5516e95e8c7,0x8fadffd1f3242bdd7ef4e0692898f405f8d35246,0xdaff2df0adee507b77878caaff76b44c81a4d63b,0xdaff2df0adee507b77878caaff76b44c81a4d63b,0x78059f593c6d6c21dfba66841e268d5c2899c773ffc065ea31d31767df09cfdf,0x8fadffd1f3242bdd7ef4e0692898f405f8d35246,0x9f3b1c6b0cddfe7adadd7aadf72273b38eff0ebc,7
sei,yaka,1,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:19,111422660,WSEI,USDC,USDC-WSEI,204.5156835,73.796406,204515683454227102766,73796406,73.77964635,0xe30fedd158a2e3b13e9badaeabafc5516e95e8c7,0x3894085ef7ff0f0aedf52e2a2704928d1ec074f1,0x5cfa8db453c9904511c4ea9eb0bfc903e36b9f5f,0xfd1ca2735bc49ba8f1442059bbf44d4326f882d5,0xfd1ca2735bc49ba8f1442059bbf44d4326f882d5,0x40b86d865ef151351355e25bb93163e65e4e75710f9ba92a2f634f6568d7fbfe,0xe7798097e7171b2922bd953180ac8c3bd3421b3b,0x992b7521b928e05d78d7444cb65a77fb5bb4be5c,7
sei,yaka,1,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:19,111422639,WSEI,USDC,USDC-WSEI,205.9877528,74.307728,205987752846219604043,74307728,74.3106998,0xe30fedd158a2e3b13e9badaeabafc5516e95e8c7,0x3894085ef7ff0f0aedf52e2a2704928d1ec074f1,0xe81bec6795e3a61341221f0a4d5c2cdfbe6a2af5,0xfd1ca2735bc49ba8f1442059bbf44d4326f882d5,0xfd1ca2735bc49ba8f1442059bbf44d4326f882d5,0xd5ce7e6bf7349284a79bbb85f1701ffe4eac7a3f7250616833bf29e3a6144bb6,0xf92f9d402f32ea0ccd8b9c2fee33afe79b741681,0xe81bec6795e3a61341221f0a4d5c2cdfbe6a2af5,7
sei,yaka,1,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:18,111422494,WSEI,SEIYAN,SEIYAN-WSEI,17.94927297,820.248683,17949272965888854601,820248683,6.47525407,0xe30fedd158a2e3b13e9badaeabafc5516e95e8c7,0x5f0e07dfee5832faa00c63f2d33a0d79150e8598,0xe81bec6795e3a61341221f0a4d5c2cdfbe6a2af5,0x83eab1ebfb63f4e4763cbbf10542a260b49cb4a0,0x83eab1ebfb63f4e4763cbbf10542a260b49cb4a0,0x1e885f296785a2a143a676028b5bc901a372d7841fdf75e6de0c20cac3f3a79f,0x15954ad61605e22b33cb422685494a74c153ae71,0xe81bec6795e3a61341221f0a4d5c2cdfbe6a2af5,3
sei,yaka,1,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:18,111422483,WSEI,USDT,USDT-WSEI,500.3261332,180.6192,500326133214369307708,180619200,180.4941535,0xe30fedd158a2e3b13e9badaeabafc5516e95e8c7,0xb75d0b03c06a926e488e2659df1a861f860bd3d1,0x1f0444f8b1387ec7ce6d565511dba1f43893d16d,0x6b06be53bef15f6afefc934b318be5b930afdc34,0x6b06be53bef15f6afefc934b318be5b930afdc34,0xb04dbe45024624fb08a9330f70a4db47c44e23c10ba1ac559fd0f0601c49993c,0x1f0444f8b1387ec7ce6d565511dba1f43893d16d,0x9f3b1c6b0cddfe7adadd7aadf72273b38eff0ebc,6
kaia,dragon_swap,3,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:18,168137992,USDT,WKLAY,USDT-WKLAY,0.074247,0.5988859343,74247,598885934297722500,0.0742198256,0x5c13e303a62fc5dedf5b52d66873f2e59fedadc2,0x19aac5f612f524b754ca7e7c41cbfa2e981a4432,0xcb567ab839ca20f7f57b2e754b16b12b4d872e24,,0xb64ba987ed3bd9808dbcc19ee3c2a3c79a977e66,0x0c946c433fd299b45a1668cb536aeccfe4967432a5e8c899fc2341d258019015,0xcb567ab839ca20f7f57b2e754b16b12b4d872e24,0x5ea3e22c41b08dd7dc7217549939d987ed410354,30
kaia,dragon_swap,3,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:17,168137968,MBX,WKLAY,MBX-WKLAY,120.8724811,373,120872481058368725760,3.73E+20,46.376582,0xd068c52d81f4409b9502da926ace3301cc41f623,0x19aac5f612f524b754ca7e7c41cbfa2e981a4432,0x32a488d3bdd65cdd90761a47f3b842c7b7746df2,,0xd90028cd925a310ba7471991e36f0d6499d7b864,0xe53d3bf55d2cb8789775f702626d3b0c9ae40bdb696531f18c61f7711690f152,0x63bc76b02e2b74457e0f1d9be65738a1b2b0bf5c,0x32a488d3bdd65cdd90761a47f3b842c7b7746df2,10
kaia,dragon_swap,3,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:17,168137965,WKLAY,MBX,MBX-WKLAY,580.0162366,188.6792,580016236600473638191,1.88679E+20,72.11573876,0x19aac5f612f524b754ca7e7c41cbfa2e981a4432,0xd068c52d81f4409b9502da926ace3301cc41f623,0x5ea3e22c41b08dd7dc7217549939d987ed410354,,0xd90028cd925a310ba7471991e36f0d6499d7b864,0xc61352ac30cf9b532199872b722a4b9a25927b5ef6460bffe2c3469cc8484ebd,0x350bb5241d99e04b041afadfde3b99faf5b195d1,0x5ea3e22c41b08dd7dc7217549939d987ed410354,3
kaia,dragon_swap,3,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:17,168137965,BORA,WKLAY,BORA-WKLAY,822.8917555,580.0162366,822891755459811944716,580016236600473638191,72.11573876,0x02cbe46fb8a1f579254a9b485788f2d86cad51aa,0x19aac5f612f524b754ca7e7c41cbfa2e981a4432,0x350bb5241d99e04b041afadfde3b99faf5b195d1,,0x3288aa19acdaac957dae670392b9568e39b686cd,0xc61352ac30cf9b532199872b722a4b9a25927b5ef6460bffe2c3469cc8484ebd,0x350bb5241d99e04b041afadfde3b99faf5b195d1,0x5ea3e22c41b08dd7dc7217549939d987ed410354,6
kaia,dragon_swap,3,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:17,168137964,BORA,USDT,BORA-USDT,813.9237526,71,813923752611111306761,71000000,70.974014,0x02cbe46fb8a1f579254a9b485788f2d86cad51aa,0x5c13e303a62fc5dedf5b52d66873f2e59fedadc2,0x350bb5241d99e04b041afadfde3b99faf5b195d1,,0xfb6b00f575693079bf43e38c61354a88e6f30d57,0xf58c37ba0cc26eedabfca629ba01e3f11e9946daba1e8bc464ea18ecd5b50024,0x350bb5241d99e04b041afadfde3b99faf5b195d1,0x5ea3e22c41b08dd7dc7217549939d987ed410354,3
kaia,dragon_swap,3,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:17,168137962,BORA,USDT,BORA-USDT,1777.4684,155,1777468399600204946642,155000000,154.94327,0x02cbe46fb8a1f579254a9b485788f2d86cad51aa,0x5c13e303a62fc5dedf5b52d66873f2e59fedadc2,0x350bb5241d99e04b041afadfde3b99faf5b195d1,,0xfb6b00f575693079bf43e38c61354a88e6f30d57,0xb21a15fe5f850cf444ff34fa7b5bdac36aad7030c6bfb54dac07d443ea7ac0e0,0x350bb5241d99e04b041afadfde3b99faf5b195d1,0x5ea3e22c41b08dd7dc7217549939d987ed410354,10
kaia,dragon_swap,3,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:17,168137962,BORA,WKLAY,BORA-WKLAY,823.698064,580.5658914,823698063973866120470,580565891389504386272,72.18407954,0x02cbe46fb8a1f579254a9b485788f2d86cad51aa,0x19aac5f612f524b754ca7e7c41cbfa2e981a4432,0x350bb5241d99e04b041afadfde3b99faf5b195d1,,0x3288aa19acdaac957dae670392b9568e39b686cd,0x7c48cb1c32d6f0d8871e1fdea6a2ced4faf8f769fd9b8590617bef7f3d45429b,0x350bb5241d99e04b041afadfde3b99faf5b195d1,0x5ea3e22c41b08dd7dc7217549939d987ed410354,6
